,XLB,XLV,XLP,XLY,XLE,XLF,XLI,XLK,XLU,VIX_quantile_yesterday,5_day_trail_vol_yesterday
2000-01-11,-1.1993,-1.7912000000000001,0.0,-0.5653,0.1122,-1.6575,-1.2766,-2.6099,-1.0765,40.0,1.0
2000-01-12,-1.4451,-1.6618000000000002,0.5246,-0.5685,-0.4484,1.9663,-1.1853,-0.4253,-1.0309000000000001,39.0,1.0
2000-01-13,0.4106,1.6868,0.5218999999999999,0.5198,1.7454999999999998,2.5180000000000002,1.9084,0.9152,-0.9259,38.0,1.0
2000-01-14,-0.7009,-0.8687,0.3245,-0.2585,-0.6087,2.3396,-0.6956,2.2975,0.8178,37.0,1.0
2000-01-18,-2.4118,-1.7912000000000001,-1.4277,-0.5701999999999999,1.2248999999999999,-2.621,-0.10779999999999999,0.5319,-0.40560000000000007,35.0,0.0
2000-01-19,-1.9289,1.6868,0.7237,-0.2086,-0.33,-0.3378,-0.3236,0.17640000000000003,0.0582,34.0,1.0
2000-01-20,-2.4118,-0.7752,-1.3717,-1.3584,0.0,-1.8304999999999998,-0.6494,0.5869,0.46509999999999996,34.0,0.0
2000-01-21,0.4419,-0.1953,-1.1258000000000001,-2.0656999999999996,2.5090000000000003,-1.2430999999999999,-1.2527,0.11670000000000001,1.6303999999999998,33.0,0.0
2000-01-24,-2.4118,-1.7912000000000001,-1.4277,-2.1349,-2.7289999999999996,-1.8182,-2.0747999999999998,-2.6099,-1.3453,33.0,0.0
2000-01-25,-1.8721999999999999,0.7060000000000001,-1.2414,0.618,-0.22269999999999998,1.0684,-0.5679,2.1386000000000003,-1.8175000000000001,33.0,0.0
2000-01-26,0.0,-0.4507,0.9077999999999999,0.7259,-1.5625,2.5180000000000002,0.7995,-2.6099,-0.46540000000000004,34.0,1.0
2000-01-27,0.5263,-0.6035999999999999,1.4064999999999999,-0.2772,-2.0408,1.087,0.5666,-0.9756,-0.6429,35.0,1.0
2000-01-28,-1.7016,-1.7912000000000001,-0.8151999999999999,-2.1349,-1.1574,-2.621,-2.0747999999999998,-2.6099,-0.5294,36.0,1.0
2000-01-31,-0.5992,-0.46490000000000004,1.4064999999999999,0.7523,2.3419,2.5180000000000002,0.6944,2.3617,1.6303999999999998,37.0,2.0
2000-02-01,1.8084,1.2973999999999999,-1.0087000000000002,2.0625999999999998,-0.2288,0.542,-0.6897,2.1014,-0.7349,38.0,2.0
2000-02-02,0.46049999999999996,1.6868,0.20379999999999998,-0.6652,0.6307,-1.0108000000000001,0.0579,0.7263999999999999,-0.5125000000000001,38.0,2.0
2000-02-03,-1.7027,0.8999999999999999,-1.3558999999999999,0.3906,-1.1965999999999999,-0.6126999999999999,-0.0578,2.3617,-0.17170000000000002,39.0,2.0
2000-02-04,-0.1332,0.3469,-0.0687,-0.1668,-2.7289999999999996,-1.0274,0.4051,1.1682,-0.5161,39.0,2.0
2000-02-07,-1.9345999999999999,-1.6296000000000002,-0.1376,-2.1158,1.1282999999999999,-1.0381,-1.7291,1.1547,-0.2882,38.0,1.0
